#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq	strain	sampleID	contig	plant	syncom	treatment	generation	line	sample_type	condition
Root77_contig_2	1	224003	101994	223990	99.9942	67.6597	39.4	42.0	Root77	g0_at1	2	none	at	input	0	at1	generation	none_at
Root29_contig_1	1	6549547	2143002	6545903	99.9444	48.4189	39.3	41.5	Root29	g0_at1	1	none	at	input	0	at1	generation	none_at
Root935_contig_1	1	5125288	4448044	5120115	99.8991	129.677	39.6	41.3	Root935	g0_at1	1	none	at	input	0	at1	generation	none_at
Root685_contig_1	1	4404136	337874	4401188	99.9331	11.4272	39.5	41.9	Root685	g0_at1	1	none	at	input	0	at1	generation	none_at
Root101_contig_1	1	4394404	307110	4371685	99.483	10.3407	39.3	41.7	Root101	g0_at1	1	none	at	input	0	at1	generation	none_at
Root61_contig_1	1	4027981	838490	4025925	99.949	30.8769	39.4	41.9	Root61	g0_at1	1	none	at	input	0	at1	generation	none_at
Root265_contig_1	1	6686035	271614	6636495	99.2591	6.03468	39.4	38.8	Root265	g0_at1	1	none	at	input	0	at1	generation	none_at
Root418_contig_1	1	7312949	4357228	7306627	99.9136	88.3147	39.4	41.6	Root418	g0_at1	1	none	at	input	0	at1	generation	none_at
Root695_contig_1	1	6390105	1413922	6385475	99.9275	32.9395	39.5	40.8	Root695	g0_at1	1	none	at	input	0	at1	generation	none_at
Root695_contig_2	1	198363	25066	198286	99.9612	18.8219	39.5	39.1	Root695	g0_at1	2	none	at	input	0	at1	generation	none_at
Root695_contig_3	1	23329	4058	23329	100.0	25.8708	39.5	41.9	Root695	g0_at1	3	none	at	input	0	at1	generation	none_at
Root68_contig_1	1	6297301	3528462	6293661	99.9422	83.4067	39.5	41.0	Root68	g0_at1	1	none	at	input	0	at1	generation	none_at
Root142_contig_1	1	3975743	512656	3972740	99.9245	19.201	39.5	41.5	Root142	g0_at1	1	none	at	input	0	at1	generation	none_at
Root142_contig_2	1	1955139	244518	1954069	99.9453	18.6323	39.5	41.3	Root142	g0_at1	2	none	at	input	0	at1	generation	none_at
Root142_contig_3	1	1020406	126872	1018933	99.8556	18.5332	39.5	41.1	Root142	g0_at1	3	none	at	input	0	at1	generation	none_at
Root142_contig_4	1	866837	110000	866527	99.9642	18.9307	39.5	41.1	Root142	g0_at1	4	none	at	input	0	at1	generation	none_at
Root1310_contig_1	1	9313930	32690	3447647	37.016	0.518168	39.3	41.6	Root1310	g0_at1	1	none	at	input	0	at1	generation	none_at
Root1310_contig_2	1	276174	1716	152702	55.292	0.921564	39.4	40.5	Root1310	g0_at1	2	none	at	input	0	at1	generation	none_at
Root480_contig_1	1	3678341	3475768	3677232	99.9699	140.33	39.5	41.9	Root480	g0_at1	1	none	at	input	0	at1	generation	none_at
Root720_contig_1	1	5297621	2951606	5295310	99.9564	82.6474	39.4	41.8	Root720	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot1_contig_1	1	6184059	1878	37285	0.602921	0.0448802	39.5	1.58	LjRoot1	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot52_contig_1	1	5592429	14	1894	0.0338672	0.000375329	39.5	42.0	LjRoot52	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot17_contig_1	1	3400871	4	421	0.0123792	0.000176425	39.9	42.0	LjRoot17	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot72_contig_1	1	5051517	14	1604	0.0317528	0.000407798	39.3	30.1	LjRoot72	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot82_contig_1	1	5009941	542	15632	0.31202	0.015801	39.5	2.21	LjRoot82	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot222_contig_1	1	4720695	2	207	0.00438495	0.00006355	39.9	42.0	LjRoot222	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot24_contig_1	1	3631992	2	300	0.00825993	0.0000825993	39.5	42.0	LjRoot24	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot44_contig_1	1	3803502	60	4888	0.128513	0.00235888	39.6	18.4	LjRoot44	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot80_contig_1	1	6024117	54	5402	0.0896729	0.00132833	39.4	2.0	LjRoot80	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot33_contig_1	1	5239285	44	4724	0.090165	0.00125971	39.5	23.4	LjRoot33	g0_at1	1	none	at	input	0	at1	generation	none_at
LjNodule218_contig_1	1	6816670	126	13312	0.195286	0.00270191	39.4	14.7	LjNodule218	g0_at1	1	none	at	input	0	at1	generation	none_at
LjNodule218_contig_2	1	651417	32	2947	0.452398	0.00736855	39.7	13.8	LjNodule218	g0_at1	2	none	at	input	0	at1	generation	none_at
LjNodule218_contig_3	1	296196	4	447	0.150914	0.00202569	39.9	42.0	LjNodule218	g0_at1	3	none	at	input	0	at1	generation	none_at
LjRoot59_contig_1	1	6711861	1112	28025	0.417544	0.0242854	39.5	2.04	LjRoot59	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot46_contig_1	1	4406614	8	1074	0.0243725	0.000272318	39.9	31.8	LjRoot46	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot46_contig_2	1	1386995	4	500	0.0360492	0.00043259	40.0	42.0	LjRoot46	g0_at1	2	none	at	input	0	at1	generation	none_at
LjRoot46_contig_3	1	280132	2	275	0.098168	0.00107092	40.0	42.0	LjRoot46	g0_at1	3	none	at	input	0	at1	generation	none_at
LjRoot303_contig_1	1	8514157	2	291	0.00341784	0.0000352354	35.8	1.0	LjRoot303	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot60_contig_1	1	3971937	22	2524	0.0635458	0.000809429	39.7	38.2	LjRoot60	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot262_contig_1	1	4527900	8	1060	0.0234104	0.000265024	39.5	42.0	LjRoot262	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot5_contig_1	1	4452308	0	0	0.0	0.0	0.0	0.0	LjRoot5	g0_at1	1	none	at	input	0	at1	generation	none_at
LjRoot24_contig_2	1	64919	0	0	0.0	0.0	0.0	0.0	LjRoot24	g0_at1	2	none	at	input	0	at1	generation	none_at
LjRoot44_contig_2	1	31311	0	0	0.0	0.0	0.0	0.0	LjRoot44	g0_at1	2	none	at	input	0	at1	generation	none_at
LjRoot80_contig_2	1	315699	0	0	0.0	0.0	0.0	0.0	LjRoot80	g0_at1	2	none	at	input	0	at1	generation	none_at
LjRoot46_contig_4	1	137921	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at1	4	none	at	input	0	at1	generation	none_at
LjRoot46_contig_5	1	90004	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at1	5	none	at	input	0	at1	generation	none_at
LjRoot60_contig_2	1	167542	0	0	0.0	0.0	0.0	0.0	LjRoot60	g0_at1	2	none	at	input	0	at1	generation	none_at
Root83_contig_1	1	6242359	7996064	6239788	99.9588	189.999	39.5	40.4	Root83	g0_at2	1	none	at	input	0	at2	generation	none_at
Root131_contig_1	1	5452892	445164	5402244	99.0712	12.1945	39.7	41.3	Root131	g0_at2	1	none	at	input	0	at2	generation	none_at
Root131_contig_2	1	358064	29492	350168	97.7948	12.3072	39.7	40.9	Root131	g0_at2	2	none	at	input	0	at2	generation	none_at
Root131_contig_3	1	349599	174970	349502	99.9723	74.7891	39.7	42.0	Root131	g0_at2	3	none	at	input	0	at2	generation	none_at
Root131_contig_4	1	235425	21328	235323	99.9567	13.5347	39.7	42.0	Root131	g0_at2	4	none	at	input	0	at2	generation	none_at
Root131_contig_5	1	127922	10774	127774	99.8843	12.5808	39.7	35.3	Root131	g0_at2	5	none	at	input	0	at2	generation	none_at
Root131_contig_6	1	98190	602	12343	12.5705	0.914818	39.7	1.0	Root131	g0_at2	6	none	at	input	0	at2	generation	none_at
Root131_contig_7	1	40652	3154	40623	99.9287	11.5914	39.7	42.0	Root131	g0_at2	7	none	at	input	0	at2	generation	none_at
Root131_contig_8	1	14806	23010	14804	99.9865	232.174	39.6	42.0	Root131	g0_at2	8	none	at	input	0	at2	generation	none_at
Root123D2_contig_1	1	4592849	2071782	4591615	99.9731	67.1707	39.5	41.9	Root123D2	g0_at2	1	none	at	input	0	at2	generation	none_at
Root123D2_contig_2	1	209642	164554	209642	100.0	116.816	39.5	42.0	Root123D2	g0_at2	2	none	at	input	0	at2	generation	none_at
Root77_contig_1	1	4050161	1871102	4048525	99.9596	68.518	39.4	41.8	Root77	g0_at2	1	none	at	input	0	at2	generation	none_at
Root77_contig_2	1	224003	111514	224003	100.0	73.981	39.5	42.0	Root77	g0_at2	2	none	at	input	0	at2	generation	none_at
Root29_contig_1	1	6549547	2386764	6545853	99.9436	53.9082	39.4	41.5	Root29	g0_at2	1	none	at	input	0	at2	generation	none_at
Root935_contig_1	1	5125288	4384952	5120152	99.8998	127.84	39.7	41.3	Root935	g0_at2	1	none	at	input	0	at2	generation	none_at
Root685_contig_1	1	4404136	359886	4401396	99.9378	12.1713	39.5	41.9	Root685	g0_at2	1	none	at	input	0	at2	generation	none_at
Root101_contig_1	1	4394404	345272	4376404	99.5904	11.625	39.4	41.8	Root101	g0_at2	1	none	at	input	0	at2	generation	none_at
Root61_contig_1	1	4027981	936714	4026134	99.9541	34.4828	39.4	41.9	Root61	g0_at2	1	none	at	input	0	at2	generation	none_at
Root265_contig_1	1	6686035	302062	6654325	99.5257	6.71205	39.5	38.9	Root265	g0_at2	1	none	at	input	0	at2	generation	none_at
Root418_contig_1	1	7312949	4833224	7307080	99.9197	97.926	39.4	41.6	Root418	g0_at2	1	none	at	input	0	at2	generation	none_at
Root695_contig_1	1	6390105	1518540	6385605	99.9296	35.3726	39.5	40.8	Root695	g0_at2	1	none	at	input	0	at2	generation	none_at
Root695_contig_2	1	198363	26028	198357	99.997	19.5578	39.6	39.1	Root695	g0_at2	2	none	at	input	0	at2	generation	none_at
Root695_contig_3	1	23329	4288	23329	100.0	27.2733	39.5	41.9	Root695	g0_at2	3	none	at	input	0	at2	generation	none_at
Root68_contig_1	1	6297301	3750476	6293618	99.9415	88.6444	39.6	41.0	Root68	g0_at2	1	none	at	input	0	at2	generation	none_at
Root142_contig_1	1	3975743	547700	3972409	99.9161	20.5141	39.5	41.5	Root142	g0_at2	1	none	at	input	0	at2	generation	none_at
Root142_contig_2	1	1955139	259440	1954147	99.9493	19.7707	39.5	41.4	Root142	g0_at2	2	none	at	input	0	at2	generation	none_at
Root142_contig_3	1	1020406	134342	1019002	99.8624	19.6159	39.6	41.0	Root142	g0_at2	3	none	at	input	0	at2	generation	none_at
Root142_contig_4	1	866837	114242	866614	99.9743	19.6484	39.6	41.1	Root142	g0_at2	4	none	at	input	0	at2	generation	none_at
Root1310_contig_1	1	9313930	37812	3854502	41.3843	0.599281	39.4	41.6	Root1310	g0_at2	1	none	at	input	0	at2	generation	none_at
Root1310_contig_2	1	276174	1960	165324	59.8623	1.04835	39.3	41.0	Root1310	g0_at2	2	none	at	input	0	at2	generation	none_at
Root480_contig_1	1	3678341	3815190	3677227	99.9697	154.018	39.5	41.9	Root480	g0_at2	1	none	at	input	0	at2	generation	none_at
Root720_contig_1	1	5297621	3241014	5295268	99.9556	90.7405	39.4	41.8	Root720	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot1_contig_1	1	6184059	2064	45617	0.737655	0.0493673	39.5	1.66	LjRoot1	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot52_contig_1	1	5592429	18	2467	0.0441132	0.00048208	39.5	42.0	LjRoot52	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot17_contig_1	1	3400871	24	2967	0.0872424	0.00103121	39.1	38.5	LjRoot17	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot72_contig_1	1	5051517	28	3642	0.0720972	0.000784319	39.6	24.1	LjRoot72	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot82_contig_1	1	5009941	530	16999	0.339305	0.0155796	39.6	2.74	LjRoot82	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot222_contig_1	1	4720695	14	1891	0.0400577	0.000431928	39.7	42.0	LjRoot222	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot24_contig_1	1	3631992	8	1200	0.0330397	0.000330397	39.5	31.8	LjRoot24	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot44_contig_1	1	3803502	48	4649	0.122229	0.00187433	39.5	21.5	LjRoot44	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot80_contig_1	1	6024117	62	6309	0.104729	0.00150263	39.2	4.0	LjRoot80	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot33_contig_1	1	5239285	34	2835	0.0541104	0.000919782	39.3	11.8	LjRoot33	g0_at2	1	none	at	input	0	at2	generation	none_at
LjNodule218_contig_1	1	6816670	134	14322	0.210103	0.00288396	39.4	14.8	LjNodule218	g0_at2	1	none	at	input	0	at2	generation	none_at
LjNodule218_contig_2	1	651417	30	1807	0.277395	0.00690802	39.7	6.47	LjNodule218	g0_at2	2	none	at	input	0	at2	generation	none_at
LjNodule218_contig_3	1	296196	2	300	0.101284	0.00101284	39.7	42.0	LjNodule218	g0_at2	3	none	at	input	0	at2	generation	none_at
LjRoot59_contig_1	1	6711861	1122	23934	0.356593	0.0246875	39.6	1.89	LjRoot59	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot46_contig_1	1	4406614	8	1071	0.0243044	0.000272318	39.7	21.5	LjRoot46	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot46_contig_2	1	1386995	4	535	0.0385726	0.00043259	39.9	42.0	LjRoot46	g0_at2	2	none	at	input	0	at2	generation	none_at
LjRoot46_contig_3	1	280132	2	300	0.107092	0.00107092	40.0	42.0	LjRoot46	g0_at2	3	none	at	input	0	at2	generation	none_at
LjRoot303_contig_1	1	8514157	6	790	0.00927866	0.000105706	39.9	14.7	LjRoot303	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot60_contig_1	1	3971937	22	3077	0.0774685	0.000830829	39.8	38.2	LjRoot60	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot262_contig_1	1	4527900	10	1326	0.0292851	0.000331279	39.8	42.0	LjRoot262	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot5_contig_1	1	4452308	0	0	0.0	0.0	0.0	0.0	LjRoot5	g0_at2	1	none	at	input	0	at2	generation	none_at
LjRoot24_contig_2	1	64919	0	0	0.0	0.0	0.0	0.0	LjRoot24	g0_at2	2	none	at	input	0	at2	generation	none_at
LjRoot44_contig_2	1	31311	0	0	0.0	0.0	0.0	0.0	LjRoot44	g0_at2	2	none	at	input	0	at2	generation	none_at
LjRoot80_contig_2	1	315699	0	0	0.0	0.0	0.0	0.0	LjRoot80	g0_at2	2	none	at	input	0	at2	generation	none_at
LjRoot46_contig_4	1	137921	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at2	4	none	at	input	0	at2	generation	none_at
LjRoot46_contig_5	1	90004	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at2	5	none	at	input	0	at2	generation	none_at
LjRoot60_contig_2	1	167542	0	0	0.0	0.0	0.0	0.0	LjRoot60	g0_at2	2	none	at	input	0	at2	generation	none_at
Root83_contig_1	1	6242359	7252496	6239390	99.9524	172.419	39.4	40.3	Root83	g0_at3	1	none	at	input	0	at3	generation	none_at
Root131_contig_1	1	5452892	452348	5402029	99.0672	12.3896	39.6	41.3	Root131	g0_at3	1	none	at	input	0	at3	generation	none_at
Root131_contig_2	1	358064	30012	349636	97.6462	12.524	39.6	40.9	Root131	g0_at3	2	none	at	input	0	at3	generation	none_at
Root131_contig_3	1	349599	181154	349471	99.9634	77.4291	39.6	42.0	Root131	g0_at3	3	none	at	input	0	at3	generation	none_at
Root131_contig_4	1	235425	21536	235353	99.9694	13.6781	39.6	42.0	Root131	g0_at3	4	none	at	input	0	at3	generation	none_at
Root131_contig_5	1	127922	10884	127892	99.9765	12.709	39.6	35.9	Root131	g0_at3	5	none	at	input	0	at3	generation	none_at
Root131_contig_6	1	98190	602	12876	13.1134	0.918148	39.6	1.0	Root131	g0_at3	6	none	at	input	0	at3	generation	none_at
Root131_contig_7	1	40652	3070	40619	99.9188	11.3008	39.7	41.9	Root131	g0_at3	7	none	at	input	0	at3	generation	none_at
Root131_contig_8	1	14806	22964	14804	99.9865	231.78	39.6	42.0	Root131	g0_at3	8	none	at	input	0	at3	generation	none_at
Root123D2_contig_1	1	4592849	1890250	4591899	99.9793	61.2954	39.5	41.9	Root123D2	g0_at3	1	none	at	input	0	at3	generation	none_at
Root123D2_contig_2	1	209642	150448	209642	100.0	106.799	39.5	42.0	Root123D2	g0_at3	2	none	at	input	0	at3	generation	none_at
Root77_contig_1	1	4050161	1670352	4048537	99.9599	61.1828	39.4	41.8	Root77	g0_at3	1	none	at	input	0	at3	generation	none_at
Root77_contig_2	1	224003	100414	224003	100.0	66.6111	39.4	42.0	Root77	g0_at3	2	none	at	input	0	at3	generation	none_at
Root29_contig_1	1	6549547	2151910	6545599	99.9397	48.6382	39.4	41.5	Root29	g0_at3	1	none	at	input	0	at3	generation	none_at
Root935_contig_1	1	5125288	4460934	5119610	99.8892	130.041	39.6	41.3	Root935	g0_at3	1	none	at	input	0	at3	generation	none_at
Root685_contig_1	1	4404136	328694	4400886	99.9262	11.1176	39.5	41.9	Root685	g0_at3	1	none	at	input	0	at3	generation	none_at
Root101_contig_1	1	4394404	310928	4371403	99.4766	10.4703	39.3	41.8	Root101	g0_at3	1	none	at	input	0	at3	generation	none_at
Root61_contig_1	1	4027981	834200	4025796	99.9458	30.7191	39.4	41.9	Root61	g0_at3	1	none	at	input	0	at3	generation	none_at
